Artist Educator,Participation,EarlyON,Site,Partner Org,Address,Title,Link,Photo link,GPS
Narita Sargees ,29,TRUE,N2N,YMCA,"28 Athens St, Hamilton ",Tape World Friends,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/n2n/,https://artsforall.co/wp-content/uploads/2025/08/Screenshot_20250812-121023-700x665.png,"43.228539591400846, -79.88547356361249"
Zorica Silverthorne ,44,TRUE,McQuesten Urban Farm,Niwasa Kendaaswin Teg,"785 Britannia Avenue, Hamilton ",Chalking the Ephemeral,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/niwasa/,https://artsforall.co/wp-content/uploads/2025/08/Copy-of-IMG_14751-700x700.jpg,"43.23986875375845, -79.78099722968128"
Noor Butt,44,TRUE,Queen Street,Wesley Urban Ministries,"155 Queen St. N, Hamilton ","Transcending Structure - Growing, Learning, and Creative Thinking through Sensory Play",https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/queen-street/,https://artsforall.co/wp-content/uploads/2025/08/20250724_112344-700x700.jpg,"43.26413663211949, -79.87726237851754"
Wren Breeze,139,TRUE,St. James,Heritage Green EarlyON Centre and Kinder Camp,"29 John Murray St, Stoney Creek ","Artasia, Wren, Freckles, Scotland, Hairdye? What's your name?",https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/st-james/,https://artsforall.co/wp-content/uploads/2025/08/Copy-of-PXL_20250806_162633922.MP_-700x700.jpg,"43.191528829609574, -79.7836710466429"
Marjan Nemati ,26,TRUE,St. Patrick,Hamilton-Wentworth Catholic Child Care Centres,"20 East Avenue South, Hamilton ",Stepping Stone Toward the Unknown ,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/st-patrick-earlyon/,https://artsforall.co/wp-content/uploads/2025/08/Week-2-Space-2-700x700.jpg,"43.252546422722766, -79.85600423757207"
Noor Butt,31,TRUE,Westmount,YMCA,"35 Lynbrook Drive, Hamilton","Leisure, Recreation, and Creativity - How Art Stands Out",https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/westmount/,https://artsforall.co/wp-content/uploads/2025/08/20250716_102652-700x700.jpg,"43.228425179176455, -79.89431682904095"
Wren Breeze,24,TRUE,Helen Detwiler EarlyON,Today’s Family Early Learning and Child Care,"320 Brigade Dr, Hamilton ",Learning in the sun: how the sun/light interacts with people and objects to make shadows,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/helen-detwiler/,https://artsforall.co/wp-content/uploads/2025/08/Copy-of-PXL_20250710_144444226-700x700.jpg,"43.20286646228802, -79.87859877941797"
Abby Bothen,24,TRUE,Winona,Hamilton-Wentworth Catholic Child Care Centres,"255 Winona Rd, Stoney Creek",Building Communities Through Art!,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/earlyon/winona/,https://artsforall.co/wp-content/uploads/2025/08/IMG_4101-700x700.jpg,"43.20861170753097, -79.65099572286991"
Vania,96,FALSE,Holy Name of Jesus,Hamilton-Wentworth Catholic Child Care Centres,"181 Belmont Ave, Hamilton ",The Unexpected Stories Behind the Squares,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/hwcccc/holy-name-of-jesus/,https://artsforall.co/wp-content/uploads/2025/08/IMG_0596-700x700.jpg,"43.249723471129414, -79.82284360318027"
Abby Bothen,122,FALSE,Our Lady of Hope,Hamilton-Wentworth Catholic Child Care Centres,"400 Pumpkin Pass, Binbrook ",Creating our Dream Spaces!,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/hwcccc/our-lady-of-hope/,https://artsforall.co/wp-content/uploads/2025/08/IMG_4108.jpg,"43.12976251438047, -79.8257909759219"
Vania,61,FALSE,St. Ann,Hamilton-Wentworth Catholic Child Care Centres,"15 Saint Ann St, Hamilton ",An Unexpected Friendship ,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/hwcccc/st-ann/,https://artsforall.co/wp-content/uploads/2025/08/IMG_0679-700x700.jpg,"43.25534876827411, -79.83592757733621"
Abby Bothen,98,FALSE,St. Francis Xavier,Hamilton-Wentworth Catholic Child Care Centres,"298 Hwy 8, Stoney Creek ",Experimenting with Spin Art!,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/hwcccc/st-francis/,https://artsforall.co/wp-content/uploads/2025/08/IMG_4105.jpg,"43.2199821621869, -79.73214999112443"
Abby Bothen,45,FALSE,St. Matthew,Hamilton-Wentworth Catholic Child Care Centres,"200 Windwood Dr, Binbrook ",Finding the magic in art: Working with bleeding tissue paper!,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/hwcccc/st-matthew/,https://artsforall.co/wp-content/uploads/2025/08/IMG_4064-700x700.jpg,"43.11729489843701, -79.81397184204029"
Naseem Anvari,96,FALSE,St. Patrick,Hamilton-Wentworth Catholic Child Care Centres,"20 East Ave S, Hamilton",A Welcoming Environment,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/hwcccc/st-patrick/,https://artsforall.co/wp-content/uploads/2025/08/St-Patrick-welcome-sign-1-700x700.jpg,"43.2526360560632, -79.85596817584515"
Sophie Hewitt & Vania,190,FALSE,Bennetto,Jamesville Bennetto,"47 Simcoe St East, Hamilton",Reflection: Weaving Stories & Did I Accidentally Start a Mythology in a Kindergarten Class? - The Story of Atlas the Spider,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/jamesville-bennetto/bennetto/,https://artsforall.co/wp-content/uploads/2025/08/IMG_0293-700x700.jpeg,"43.26773815759749, -79.86173723648672"
Sophie Hewitt ,145,FALSE,St. Lawrence,Jamesville Bennetto,"88 Macaulay St East, Hamilton ",Reflection: Creating With Household Staples,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/jamesville-bennetto/st-lawrence/,https://artsforall.co/wp-content/uploads/2025/08/StLawrence1-scaled.jpg,"43.26955117240371, -79.85952455519754"
Stef C,113,FALSE,CH Norton,Today’s Family Early Learning and Child Care,2120 Cleaver Ave. Burlington ,Growth,https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/todays-family/ch-norton/,https://artsforall.co/wp-content/uploads/2025/08/IMG_6332-1-700x700.jpg,"43.37892755959593, -79.8135098116328"
Abby Bothen,64,FALSE,Collegiate Elementary,Today’s Family Early Learning and Child Care,"49 Collegiate Ave, Stoney Creek ","Cellophane, A Young Artist's Favourite!",https://artsforall.co/what-we-do/artasia/artasia-2025/documentation-2025/todays-family/collegiate-elementary/,https://artsforall.co/wp-content/uploads/2025/08/IMG_4099-700x700.jpg,"43.22091179081622, -79.74911482465707"
